Offset(V)  Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
---------- -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0x84f4aa20 System                    4      0    101      539 ------      0 2015-06-25 12:18:08 UTC+0000                                 
0x85c32d40 smss.exe                272      4      2       32 ------      0 2015-06-25 12:18:08 UTC+0000                                 
0x85b4c948 csrss.exe               360    348      9      461      0      0 2015-06-25 12:18:10 UTC+0000                                 
0x863c2aa0 csrss.exe               408    400      8      284      1      0 2015-06-25 12:18:11 UTC+0000                                 
0x863c5030 wininit.exe             416    348      3       80      0      0 2015-06-25 12:18:11 UTC+0000                                 
0x863da030 winlogon.exe            456    400      3      113      1      0 2015-06-25 12:18:11 UTC+0000                                 
0x863ea5c0 services.exe            504    416      7      234      0      0 2015-06-25 12:18:12 UTC+0000                                 
0x863ee888 lsass.exe               512    416      9      723      0      0 2015-06-25 12:18:12 UTC+0000                                 
0x863f2580 lsm.exe                 520    416     10      196      0      0 2015-06-25 12:18:12 UTC+0000                                 
0x851cc030 svchost.exe             620    504      9      366      0      0 2015-06-25 12:18:13 UTC+0000                                 
0x86441c88 svchost.exe             696    504      8      284      0      0 2015-06-25 12:18:14 UTC+0000                                 
0x8645b030 MsMpEng.exe             796    504     30      559      0      0 2015-06-25 12:18:14 UTC+0000                                 
0x86499d40 svchost.exe             884    504     19      481      0      0 2015-06-25 12:18:15 UTC+0000                                 
0x8648eb18 svchost.exe             936    504     14      444      0      0 2015-06-25 12:18:15 UTC+0000                                 
0x864b66b8 svchost.exe             960    504     16      458      0      0 2015-06-25 12:18:15 UTC+0000                                 
0x864be658 svchost.exe             988    504     32     1186      0      0 2015-06-25 12:18:15 UTC+0000                                 
0x8650d570 svchost.exe            1240    504     23      568      0      0 2015-06-25 12:18:16 UTC+0000                                 
0x85b475b8 spoolsv.exe            1424    504     12      281      0      0 2015-06-25 12:18:17 UTC+0000                                 
0x8656e890 svchost.exe            1460    504     18      307      0      0 2015-06-25 12:18:17 UTC+0000                                 
0x865ca650 svchost.exe            1576    504     15      300      0      0 2015-06-25 12:18:18 UTC+0000                                 
0x853b5d40 svchost.exe            1992    504      5       95      0      0 2015-06-25 12:18:19 UTC+0000                                 
0x84fb0770 taskhost.exe           2104    504     12      257      1      0 2015-06-25 12:19:17 UTC+0000                                 
0x8675ba58 dwm.exe                2188    936      3       77      1      0 2015-06-25 12:19:17 UTC+0000                                 
0x865e5578 explorer.exe           2216   2176     21      844      1      0 2015-06-25 12:19:17 UTC+0000                                 
0x8671e458 msseces.exe            2320   2216      5      248      1      0 2015-06-25 12:19:19 UTC+0000                                 
0x86451030 SearchIndexer.         2496    504     14      759      0      0 2015-06-25 12:19:26 UTC+0000                                 
0x85c9b520 sppsvc.exe             2736    504      4      154      0      0 2015-06-25 12:20:19 UTC+0000                                 
0x855d66b8 wuauclt.exe            3048    988      3       93      1      0 2015-06-25 12:21:23 UTC+0000                                 
0x857973d0 OUTLOOK.EXE            3568   2216     31     2645      1      0 2015-06-25 12:29:01 UTC+0000                                 
0x864cbd40 iexplore.exe           3604   2216      7      320      1      0 2015-06-26 11:43:33 UTC+0000                                 
0x8639f030 iexplore.exe           3892   3604     29      703      1      0 2015-06-26 11:43:33 UTC+0000                                 
0x857eba58 FlashUtil32_17         2000    620      3      131      1      0 2015-06-26 11:43:36 UTC+0000                                 
0x865f23c8 iexplore.exe           1776   3604      0 --------      1      0 2015-06-26 14:21:21 UTC+0000   2015-06-26 14:22:55 UTC+0000  
0x86579690 notepad.exe            3976   1776      6      180      1      0 2015-06-26 14:22:32 UTC+0000                                 
0x865719c8 NisSrv.exe             3616    504     12      253      0      0 2015-06-26 14:22:33 UTC+0000                                 
0x858d8d40 cmd.exe                4084   3976      1       31      0      0 2015-06-26 14:31:39 UTC+0000                                 
0x8594fa58 conhost.exe            4016    360      2       35      0      0 2015-06-26 14:31:39 UTC+0000                                 
0x85fb61a0 lexplorer.exe          1900   4084      4      191      0      0 2015-06-26 14:31:56 UTC+0000                                 
0x86645558 regedit.exe            2332   4084      3       89      0      0 2015-06-26 14:54:29 UTC+0000                                 
0x8583e330 UI0Detect.exe          3724    504      6       93      0      0 2015-06-26 14:54:29 UTC+0000                                 
0x8561e218 UI0Detect.exe          3496   3724      2       69      1      0 2015-06-26 14:54:29 UTC+0000                                 
0x85963a50 updater.exe            2548   4084      3      191      0      0 2015-06-26 15:08:02 UTC+0000                                 
0x85fbc030 conh0st.exe            2068   4084      1       66      0      0 2015-06-26 15:30:39 UTC+0000                                 
